Country,Code,Date,Vax_Rate,Index,Region,Income_group
Armenia,ARM,2021-06,2.17,7,Europe & Central Asia,Upper middle income
Ghana,GHA,2021-06,3.89,70,Sub-Saharan Africa,Lower middle income
South Sudan,SSD,2021-06,0.39,177,Sub-Saharan Africa,Low income
Myanmar,MMR,2021-06,6.15,130,East Asia & Pacific,Lower middle income
Oman,OMN,2021-06,13.79,149,Middle East & North Africa,High income
Bahrain,BHR,2021-06,121.39,19,Middle East & North Africa,High income
Sao Tome and Principe,STP,2021-06,11.15,178,Sub-Saharan Africa,Lower middle income
Pakistan,PAK,2021-06,5.76,150,South Asia,Lower middle income
New Zealand,NZL,2021-06,22.49,148,East Asia & Pacific,High income
Cyprus,CYP,2021-06,90.32,48,Europe & Central Asia,High income
Bahamas,BHS,2021-06,19.97,20,Latin America & Caribbean,High income
Tonga,TON,2021-06,26.85,194,East Asia & Pacific,Upper middle income
Lesotho,LSO,2021-06,1.7,114,Sub-Saharan Africa,Lower middle income
Guinea,GIN,2021-06,4.24,72,Sub-Saharan Africa,Low income
South Africa,ZAF,2021-06,5.04,215,Sub-Saharan Africa,Upper middle income
Moldova,MDA,2021-06,17.57,122,Europe & Central Asia,Upper middle income
Argentina,ARG,2021-06,47.08,6,Latin America & Caribbean,Upper middle income
Timor,TLS,2021-06,17.02,193,East Asia & Pacific,Lower middle income
Iceland,ISL,2021-06,108.89,93,Europe & Central Asia,High income
Philippines,PHL,2021-06,9.4,153,East Asia & Pacific,Lower middle income
Australia,AUS,2021-06,30.02,10,East Asia & Pacific,High income
Ecuador,ECU,2021-06,26.95,56,Latin America & Caribbean,Upper middle income
Nigeria,NGA,2021-06,1.47,142,Sub-Saharan Africa,Lower middle income
Namibia,NAM,2021-06,5.56,139,Sub-Saharan Africa,Upper middle income
Romania,ROU,2021-06,46.82,164,Europe & Central Asia,Upper middle income
Madagascar,MDG,2021-06,0.69,123,Sub-Saharan Africa,Low income
Spain,ESP,2021-06,88.31,59,Europe & Central Asia,High income
Angola,AGO,2021-06,4.22,2,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,2021-06,47.49,44,Latin America & Caribbean,Upper middle income
Saint Kitts and Nevis,KNA,2021-06,78.16,104,Latin America & Caribbean,High income
Slovenia,SVN,2021-06,70.4,181,Europe & Central Asia,High income
Djibouti,DJI,2021-06,2.13,51,Middle East & North Africa,Lower middle income
Maldives,MDV,2021-06,93.28,124,South Asia,Upper middle income
Togo,TGO,2021-06,3.76,189,Sub-Saharan Africa,Low income
Azerbaijan,AZE,2021-06,33.47,12,Europe & Central Asia,Upper middle income
Mali,MLI,2021-06,0.84,128,Sub-Saharan Africa,Low income
Norway,NOR,2021-06,75.79,145,Europe & Central Asia,High income
Zimbabwe,ZWE,2021-06,8.72,217,Sub-Saharan Africa,Lower middle income
Congo,COG,2021-06,2.05,40,Sub-Saharan Africa,Lower middle income
Faeroe Islands,FRO,2021-06,96.43,65,Europe & Central Asia,High income
New Caledonia,NCL,2021-06,36.32,140,East Asia & Pacific,High income
North Macedonia,MKD,2021-06,25.42,127,Europe & Central Asia,Upper middle income
Saint Vincent and the Grenadines,VCT,2021-06,22.23,206,Latin America & Caribbean,Upper middle income
Niger,NER,2021-06,0.74,141,Sub-Saharan Africa,Low income
Belgium,BEL,2021-06,94.27,14,Europe & Central Asia,High income
Panama,PAN,2021-06,31.29,151,Latin America & Caribbean,Upper middle income
Honduras,HND,2021-06,6.8,83,Latin America & Caribbean,Lower middle income
Montenegro,MNE,2021-06,45.8,131,Europe & Central Asia,Upper middle income
Botswana,BWA,2021-06,10.44,30,Sub-Saharan Africa,Upper middle income
Brunei,BRN,2021-06,19.13,28,East Asia & Pacific,High income
Iraq,IRQ,2021-06,1.96,92,Middle East & North Africa,Upper middle income
Greenland,GRL,2021-06,69.05,78,Europe & Central Asia,High income
Slovakia,SVK,2021-06,65.12,180,Europe & Central Asia,High income
Kiribati,KIR,2021-06,0,103,East Asia & Pacific,Lower middle income
Poland,POL,2021-06,76.43,156,Europe & Central Asia,High income
Hungary,HUN,2021-06,96.01,86,Europe & Central Asia,High income
Curacao,CUW,2021-06,101.43,46,Latin America & Caribbean,High income
Tajikistan,TJK,2021-06,1.35,191,Europe & Central Asia,Lower middle income
Laos,LAO,2021-06,19.19,107,East Asia & Pacific,Lower middle income
United States,USA,2021-06,101.78,204,North America,High income
Nauru,NRU,2021-06,68.85,147,East Asia & Pacific,High income
Benin,BEN,2021-06,0.21,15,Sub-Saharan Africa,Lower middle income
Japan,JPN,2021-06,40.43,98,East Asia & Pacific,High income
Switzerland,CHE,2021-06,85.72,33,Europe & Central Asia,High income
Uruguay,URY,2021-06,113.49,203,Latin America & Caribbean,High income
United Kingdom,GBR,2021-06,113.76,68,Europe & Central Asia,High income
Sint Maarten (Dutch part),SXM,2021-06,83.39,184,Latin America & Caribbean,High income
Italy,ITA,2021-06,85.45,95,Europe & Central Asia,High income
Eswatini,SWZ,2021-06,3.99,183,Sub-Saharan Africa,Lower middle income
Czechia,CZE,2021-06,77.56,49,Europe & Central Asia,High income
India,IND,2021-06,23.62,89,South Asia,Lower middle income
China,CHN,2021-06,84.87,36,East Asia & Pacific,Upper middle income
Lithuania,LTU,2021-06,83.51,115,Europe & Central Asia,High income
Fiji,FJI,2021-06,35.7,63,East Asia & Pacific,Upper middle income
Barbados,BRB,2021-06,57.89,27,Latin America & Caribbean,High income
Grenada,GRD,2021-06,27.87,77,Latin America & Caribbean,Upper middle income
Seychelles,SYC,2021-06,140.11,185,Sub-Saharan Africa,High income
Liechtenstein,LIE,2021-06,84.95,112,Europe & Central Asia,High income
Equatorial Guinea,GNQ,2021-06,18.27,75,Sub-Saharan Africa,Upper middle income
Colombia,COL,2021-06,35,41,Latin America & Caribbean,Upper middle income
Taiwan,TWN,2021-06,8.4,199,East Asia & Pacific,High income
Lebanon,LBN,2021-06,19.39,108,Middle East & North Africa,Upper middle income
Croatia,HRV,2021-06,62.35,84,Europe & Central Asia,High income
United Arab Emirates,ARE,2021-06,152.12,5,Middle East & North Africa,High income
Malta,MLT,2021-06,128.82,129,Middle East & North Africa,High income
Latvia,LVA,2021-06,60.02,117,Europe & Central Asia,High income
Portugal,PRT,2021-06,84.37,159,Europe & Central Asia,High income
Cuba,CUB,2021-06,52.92,45,Latin America & Caribbean,Upper middle income
Kenya,KEN,2021-06,2.43,100,Sub-Saharan Africa,Lower middle income
Sri Lanka,LKA,2021-06,17.18,113,South Asia,Lower middle income
Isle of Man,IMN,2021-06,122.94,88,Europe & Central Asia,High income
Bermuda,BMU,2021-06,130,24,North America,High income
Jamaica,JAM,2021-06,8.41,96,Latin America & Caribbean,Upper middle income
Israel,ISR,2021-06,116.52,94,Middle East & North Africa,High income
Albania,ALB,2021-06,33.69,3,Europe & Central Asia,Upper middle income
Chile,CHL,2021-06,120.2,35,Latin America & Caribbean,High income
Bangladesh,BGD,2021-06,6.07,17,South Asia,Lower middle income
Kyrgyzstan,KGZ,2021-06,2.62,101,Europe & Central Asia,Lower middle income
Cameroon,CMR,2021-06,0.41,38,Sub-Saharan Africa,Lower middle income
Indonesia,IDN,2021-06,15.07,87,East Asia & Pacific,Lower middle income
Central African Republic,CAF,2021-06,1.59,31,Sub-Saharan Africa,Low income
Bolivia,BOL,2021-06,21.9,25,Latin America & Caribbean,Lower middle income
Samoa,WSM,2021-06,22.57,212,East Asia & Pacific,Lower middle income
French Polynesia,PYF,2021-06,46.91,162,East Asia & Pacific,High income
Greece,GRC,2021-06,80.92,76,Europe & Central Asia,High income
Solomon Islands,SLB,2021-06,3.09,171,East Asia & Pacific,Lower middle income
Luxembourg,LUX,2021-06,85.54,116,Europe & Central Asia,High income
Guinea-Bissau,GNB,2021-06,1.14,74,Sub-Saharan Africa,Low income
Gabon,GAB,2021-06,2.49,67,Sub-Saharan Africa,Upper middle income
Kazakhstan,KAZ,2021-06,28.09,99,Europe & Central Asia,Upper middle income
Iran,IRN,2021-06,6.72,91,Middle East & North Africa,Lower middle income
El Salvador,SLV,2021-06,41.03,173,Latin America & Caribbean,Lower middle income
Cape Verde,CPV,2021-06,13.23,43,Sub-Saharan Africa,Lower middle income
Syria,SYR,2021-06,0.39,186,Middle East & North Africa,Low income
British Virgin Islands,VGB,2021-06,70.35,208,Latin America & Caribbean,High income
Canada,CAN,2021-06,98.83,32,North America,High income
Malaysia,MYS,2021-06,25.33,138,East Asia & Pacific,Upper middle income
Monaco,MCO,2021-06,92.63,121,Europe & Central Asia,High income
Belize,BLZ,2021-06,24.06,23,Latin America & Caribbean,Lower middle income
Vanuatu,VUT,2021-06,2.37,211,East Asia & Pacific,Lower middle income
Mexico,MEX,2021-06,34.63,125,Latin America & Caribbean,Upper middle income
Guyana,GUY,2021-06,43.26,81,Latin America & Caribbean,Upper middle income
Dominican Republic,DOM,2021-06,71.59,54,Latin America & Caribbean,Upper middle income
Comoros,COM,2021-06,9.5,42,Sub-Saharan Africa,Lower middle income
Turks and Caicos Islands,TCA,2021-06,97.15,187,Latin America & Caribbean,High income
Mongolia,MNG,2021-06,111.74,132,East Asia & Pacific,Lower middle income
Dominica,DMA,2021-06,52.92,52,Latin America & Caribbean,Upper middle income
Ireland,IRL,2021-06,89.74,90,Europe & Central Asia,High income
Estonia,EST,2021-06,71.43,60,Europe & Central Asia,High income
Mauritius,MUS,2021-06,47.03,136,Sub-Saharan Africa,Upper middle income
Liberia,LBR,2021-06,1.59,109,Sub-Saharan Africa,Low income
Thailand,THA,2021-06,14.19,190,East Asia & Pacific,Upper middle income
Guatemala,GTM,2021-06,5.2,79,Latin America & Caribbean,Upper middle income
Denmark,DNK,2021-06,88.15,53,Europe & Central Asia,High income
Gibraltar,GIB,2021-06,231.78,71,Europe & Central Asia,High income
Gibraltar,GIB,2021-07,232.88,71,Europe & Central Asia,High income
Pakistan,PAK,2021-07,12.76,150,South Asia,Lower middle income
Malawi,MWI,2021-07,2.95,137,Sub-Saharan Africa,Low income
Israel,ISR,2021-07,120.84,94,Middle East & North Africa,High income
Brunei,BRN,2021-07,37.14,28,East Asia & Pacific,High income
Estonia,EST,2021-07,85.51,60,Europe & Central Asia,High income
Monaco,MCO,2021-07,102.81,121,Europe & Central Asia,High income
Philippines,PHL,2021-07,17.43,153,East Asia & Pacific,Lower middle income
Chile,CHL,2021-07,134.8,35,Latin America & Caribbean,High income
Isle of Man,IMN,2021-07,145.12,88,Europe & Central Asia,High income
United Arab Emirates,ARE,2021-07,168.11,5,Middle East & North Africa,High income
Armenia,ARM,2021-07,5.14,7,Europe & Central Asia,Upper middle income
Argentina,ARG,2021-07,72.02,6,Latin America & Caribbean,Upper middle income
Canada,CAN,2021-07,129.48,32,North America,High income
Myanmar,MMR,2021-07,6.39,130,East Asia & Pacific,Lower middle income
Niger,NER,2021-07,0.74,141,Sub-Saharan Africa,Low income
Iceland,ISL,2021-07,127.54,93,Europe & Central Asia,High income
Saint Vincent and the Grenadines,VCT,2021-07,23.04,206,Latin America & Caribbean,Upper middle income
North Macedonia,MKD,2021-07,43.43,127,Europe & Central Asia,Upper middle income
Ghana,GHA,2021-07,4.01,70,Sub-Saharan Africa,Lower middle income
China,CHN,2021-07,114.44,36,East Asia & Pacific,Upper middle income
Dominican Republic,DOM,2021-07,92.57,54,Latin America & Caribbean,Upper middle income
Ireland,IRL,2021-07,120.15,90,Europe & Central Asia,High income
Belgium,BEL,2021-07,126.47,14,Europe & Central Asia,High income
Mozambique,MOZ,2021-07,2.15,134,Sub-Saharan Africa,Low income
Montenegro,MNE,2021-07,52.16,131,Europe & Central Asia,Upper middle income
Denmark,DNK,2021-07,125.39,53,Europe & Central Asia,High income
El Salvador,SLV,2021-07,65.01,173,Latin America & Caribbean,Lower middle income
Morocco,MAR,2021-07,63.61,120,Middle East & North Africa,Lower middle income
Italy,ITA,2021-07,114.1,95,Europe & Central Asia,High income
Tunisia,TUN,2021-07,21.95,196,Middle East & North Africa,Lower middle income
United Kingdom,GBR,2021-07,124.46,68,Europe & Central Asia,High income
Saint Lucia,LCA,2021-07,30.82,111,Latin America & Caribbean,Upper middle income
Benin,BEN,2021-07,0.42,15,Sub-Saharan Africa,Lower middle income
Czechia,CZE,2021-07,97.1,49,Europe & Central Asia,High income
Bahrain,BHR,2021-07,131.42,19,Middle East & North Africa,High income
Faeroe Islands,FRO,2021-07,128.37,65,Europe & Central Asia,High income
Tajikistan,TJK,2021-07,5.79,191,Europe & Central Asia,Lower middle income
Lesotho,LSO,2021-07,2.61,114,Sub-Saharan Africa,Lower middle income
Sao Tome and Principe,STP,2021-07,19.68,178,Sub-Saharan Africa,Lower middle income
Tonga,TON,2021-07,37.01,194,East Asia & Pacific,Upper middle income
Nigeria,NGA,2021-07,1.81,142,Sub-Saharan Africa,Lower middle income
Oman,OMN,2021-07,33.09,149,Middle East & North Africa,High income
Uzbekistan,UZB,2021-07,17.1,205,Europe & Central Asia,Lower middle income
Slovakia,SVK,2021-07,76.87,180,Europe & Central Asia,High income
Greenland,GRL,2021-07,104.22,78,Europe & Central Asia,High income
Colombia,COL,2021-07,53.69,41,Latin America & Caribbean,Upper middle income
Seychelles,SYC,2021-07,142.99,185,Sub-Saharan Africa,High income
Bolivia,BOL,2021-07,37.93,25,Latin America & Caribbean,Lower middle income
Guinea,GIN,2021-07,5.97,72,Sub-Saharan Africa,Low income
Iraq,IRQ,2021-07,3.23,92,Middle East & North Africa,Upper middle income
Cape Verde,CPV,2021-07,27.22,43,Sub-Saharan Africa,Lower middle income
New Zealand,NZL,2021-07,37.55,148,East Asia & Pacific,High income
Dominica,DMA,2021-07,56.19,52,Latin America & Caribbean,Upper middle income
Guyana,GUY,2021-07,49.26,81,Latin America & Caribbean,Upper middle income
Congo,COG,2021-07,2.89,40,Sub-Saharan Africa,Lower middle income
Hungary,HUN,2021-07,96.01,86,Europe & Central Asia,High income
Sweden,SWE,2021-07,102.24,182,Europe & Central Asia,High income
Liberia,LBR,2021-07,1.59,109,Sub-Saharan Africa,Low income
Mauritius,MUS,2021-07,86.03,136,Sub-Saharan Africa,Upper middle income
Turkey,TUR,2021-07,85.76,197,Europe & Central Asia,Upper middle income
Thailand,THA,2021-07,25.28,190,East Asia & Pacific,Upper middle income
Egypt,EGY,2021-07,5.12,57,Middle East & North Africa,Lower middle income
Cayman Islands,CYM,2021-07,146.16,47,Latin America & Caribbean,High income
Cambodia,KHM,2021-07,71.33,102,East Asia & Pacific,Lower middle income
France,FRA,2021-07,110.72,64,Europe & Central Asia,High income
Grenada,GRD,2021-07,33.35,77,Latin America & Caribbean,Upper middle income
Sierra Leone,SLE,2021-07,1.2,172,Sub-Saharan Africa,Low income
Georgia,GEO,2021-07,11.68,69,Europe & Central Asia,Upper middle income
San Marino,SMR,2021-07,132.92,174,Europe & Central Asia,High income
Lithuania,LTU,2021-07,96.04,115,Europe & Central Asia,High income
Burkina Faso,BFA,2021-07,0.16,16,Sub-Saharan Africa,Low income
India,IND,2021-07,33.12,89,South Asia,Lower middle income
Germany,DEU,2021-07,110.62,50,Europe & Central Asia,High income
Mauritania,MRT,2021-07,4.02,135,Sub-Saharan Africa,Lower middle income
Serbia,SRB,2021-07,80.49,176,Europe & Central Asia,Upper middle income
Guatemala,GTM,2021-07,11.84,79,Latin America & Caribbean,Upper middle income
Chad,TCD,2021-07,0.18,188,Sub-Saharan Africa,Low income
Angola,AGO,2021-07,4.69,2,Sub-Saharan Africa,Lower middle income
Comoros,COM,2021-07,10.23,42,Sub-Saharan Africa,Lower middle income
Hong Kong,HKG,2021-07,74.12,82,East Asia & Pacific,High income
Uganda,UGA,2021-07,2.41,201,Sub-Saharan Africa,Low income
Rwanda,RWA,2021-07,4.86,166,Sub-Saharan Africa,Low income
Brazil,BRA,2021-07,66.5,26,Latin America & Caribbean,Upper middle income
Sudan,SDN,2021-07,1.8,168,Sub-Saharan Africa,Low income
Belize,BLZ,2021-07,44.07,23,Latin America & Caribbean,Lower middle income
Luxembourg,LUX,2021-07,111.17,116,Europe & Central Asia,High income
British Virgin Islands,VGB,2021-07,91.65,208,Latin America & Caribbean,High income
Vanuatu,VUT,2021-07,7.63,211,East Asia & Pacific,Lower middle income
Bosnia and Herzegovina,BIH,2021-07,19.12,21,Europe & Central Asia,Upper middle income
Syria,SYR,2021-07,0.72,186,Middle East & North Africa,Low income
Trinidad and Tobago,TTO,2021-07,41.58,195,Latin America & Caribbean,High income
Venezuela,VEN,2021-07,13.93,207,Latin America & Caribbean,
Iran,IRN,2021-07,9.59,91,Middle East & North Africa,Lower middle income
Guinea-Bissau,GNB,2021-07,1.25,74,Sub-Saharan Africa,Low income
Antigua and Barbuda,ATG,2021-07,69.6,9,Latin America & Caribbean,High income
Tuvalu,TUV,2021-07,20.13,198,East Asia & Pacific,Upper middle income
Lebanon,LBN,2021-07,28.73,108,Middle East & North Africa,Upper middle income
Greece,GRC,2021-07,101.01,76,Europe & Central Asia,High income
Libya,LBY,2021-07,7.86,110,Middle East & North Africa,Upper middle income
Kyrgyzstan,KGZ,2021-07,8.49,101,Europe & Central Asia,Lower middle income
Russia,RUS,2021-07,42.42,165,Europe & Central Asia,Upper middle income
Curacao,CUW,2021-07,106.27,46,Latin America & Caribbean,High income
Suriname,SUR,2021-07,41.56,179,Latin America & Caribbean,Upper middle income
Turks and Caicos Islands,TCA,2021-07,120.49,187,Latin America & Caribbean,High income
Jamaica,JAM,2021-07,9.96,96,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,2021-07,66.63,44,Latin America & Caribbean,Upper middle income
Bermuda,BMU,2021-07,133.46,24,North America,High income
Kiribati,KIR,2021-07,0,103,East Asia & Pacific,Lower middle income
Saint Kitts and Nevis,KNA,2021-07,81.5,104,Latin America & Caribbean,High income
Slovenia,SVN,2021-07,81.76,181,Europe & Central Asia,High income
Djibouti,DJI,2021-07,2.13,51,Middle East & North Africa,Lower middle income
Maldives,MDV,2021-07,107.92,124,South Asia,Upper middle income
Azerbaijan,AZE,2021-07,47.79,12,Europe & Central Asia,Upper middle income
Mali,MLI,2021-07,0.94,128,Sub-Saharan Africa,Low income
Latvia,LVA,2021-07,70.76,117,Europe & Central Asia,High income
Croatia,HRV,2021-07,75.18,84,Europe & Central Asia,High income
Zimbabwe,ZWE,2021-07,16.12,217,Sub-Saharan Africa,Lower middle income
Cuba,CUB,2021-07,85.27,45,Latin America & Caribbean,Upper middle income
Saudi Arabia,SAU,2021-07,75.18,167,Middle East & North Africa,High income
Cote d'Ivoire,CIV,2021-07,3.73,37,Sub-Saharan Africa,Lower middle income
Taiwan,TWN,2021-07,32.81,199,East Asia & Pacific,High income
Haiti,HTI,2021-07,0.06,85,Latin America & Caribbean,Lower middle income
Liechtenstein,LIE,2021-07,102.54,112,Europe & Central Asia,High income
Bulgaria,BGR,2021-07,29.36,18,Europe & Central Asia,Upper middle income
Senegal,SEN,2021-07,5.17,169,Sub-Saharan Africa,Lower middle income
Uruguay,URY,2021-07,138.14,203,Latin America & Caribbean,High income
Belarus,BLR,2021-07,21.11,22,Europe & Central Asia,Upper middle income
Switzerland,CHE,2021-07,103.56,33,Europe & Central Asia,High income
Macao,MAC,2021-07,76.75,118,East Asia & Pacific,High income
Nepal,NPL,2021-07,17.52,146,South Asia,Lower middle income
Andorra,AND,2021-07,106.46,4,Europe & Central Asia,High income
United States,USA,2021-07,106.73,204,North America,High income
Laos,LAO,2021-07,27.79,107,East Asia & Pacific,Lower middle income
Yemen,YEM,2021-07,0.98,214,Middle East & North Africa,Low income
Vietnam,VNM,2021-07,6.32,210,East Asia & Pacific,Lower middle income
Central African Republic,CAF,2021-07,1.91,31,Sub-Saharan Africa,Low income
Ukraine,UKR,2021-07,12.71,202,Europe & Central Asia,Lower middle income
Democratic Republic of Congo,COD,2021-07,0.09,39,Sub-Saharan Africa,Low income
Indonesia,IDN,2021-07,24.23,87,East Asia & Pacific,Lower middle income
Japan,JPN,2021-07,70.67,98,East Asia & Pacific,High income
Kuwait,KWT,2021-07,54.88,106,Middle East & North Africa,High income
Ecuador,ECU,2021-07,69.75,56,Latin America & Caribbean,Upper middle income
New Caledonia,NCL,2021-07,43.63,140,East Asia & Pacific,High income
Botswana,BWA,2021-07,15.23,30,Sub-Saharan Africa,Upper middle income
South Sudan,SSD,2021-07,0.49,177,Sub-Saharan Africa,Low income
Paraguay,PRY,2021-07,36.23,160,Latin America & Caribbean,Upper middle income
Spain,ESP,2021-07,119.18,59,Europe & Central Asia,High income
Madagascar,MDG,2021-07,0.69,123,Sub-Saharan Africa,Low income
Mongolia,MNG,2021-07,123.97,132,East Asia & Pacific,Lower middle income
South Korea,KOR,2021-07,50.26,105,East Asia & Pacific,High income
Kazakhstan,KAZ,2021-07,47.14,99,Europe & Central Asia,Upper middle income
Romania,ROU,2021-07,49.16,164,Europe & Central Asia,Upper middle income
Australia,AUS,2021-07,47.83,10,East Asia & Pacific,High income
Bahamas,BHS,2021-07,26.33,20,Latin America & Caribbean,High income
Malaysia,MYS,2021-07,64.42,138,East Asia & Pacific,Upper middle income
Portugal,PRT,2021-07,120.2,159,Europe & Central Asia,High income
Nicaragua,NIC,2021-07,6.2,143,Latin America & Caribbean,Lower middle income
Afghanistan,AFG,2021-07,2.75,1,South Asia,Low income
Cyprus,CYP,2021-07,108.81,48,Europe & Central Asia,High income
Gabon,GAB,2021-07,3.62,67,Sub-Saharan Africa,Upper middle income
Malta,MLT,2021-07,147.22,129,Middle East & North Africa,High income
Bhutan,BTN,2021-07,123.52,29,South Asia,Lower middle income
Mexico,MEX,2021-07,50.38,125,Latin America & Caribbean,Upper middle income
Jordan,JOR,2021-07,50.78,97,Middle East & North Africa,Upper middle income
Poland,POL,2021-07,91.09,156,Europe & Central Asia,High income
Zambia,ZMB,2021-07,2.24,216,Sub-Saharan Africa,Lower middle income
Sint Maarten (Dutch part),SXM,2021-07,101.43,184,Latin America & Caribbean,High income
Gambia,GMB,2021-07,1.75,73,Sub-Saharan Africa,Low income
Papua New Guinea,PNG,2021-07,0.68,155,East Asia & Pacific,Lower middle income
Namibia,NAM,2021-07,8.25,139,Sub-Saharan Africa,Upper middle income
Ethiopia,ETH,2021-07,1.88,61,Sub-Saharan Africa,Low income
Qatar,QAT,2021-07,129,163,Middle East & North Africa,High income
Solomon Islands,SLB,2021-07,3.95,171,East Asia & Pacific,Lower middle income
Peru,PER,2021-07,40.86,152,Latin America & Caribbean,Upper middle income
Equatorial Guinea,GNQ,2021-07,21.12,75,Sub-Saharan Africa,Upper middle income
Togo,TGO,2021-07,5.36,189,Sub-Saharan Africa,Low income
Austria,AUT,2021-07,105.94,11,Europe & Central Asia,High income
Kenya,KEN,2021-07,3.11,100,Sub-Saharan Africa,Lower middle income
Fiji,FJI,2021-07,52.24,63,East Asia & Pacific,Upper middle income
Albania,ALB,2021-07,41.73,3,Europe & Central Asia,Upper middle income
Cameroon,CMR,2021-07,1.17,38,Sub-Saharan Africa,Lower middle income
Finland,FIN,2021-07,97.32,62,Europe & Central Asia,High income
Norway,NOR,2021-07,99.82,145,Europe & Central Asia,High income
Sri Lanka,LKA,2021-07,54.75,113,South Asia,Lower middle income
Nauru,NRU,2021-07,135.97,147,East Asia & Pacific,High income
Bangladesh,BGD,2021-07,7.73,17,South Asia,Lower middle income
Somalia,SOM,2021-07,1.44,175,Sub-Saharan Africa,Low income
Honduras,HND,2021-07,16.95,83,Latin America & Caribbean,Lower middle income
Samoa,WSM,2021-07,35.33,212,East Asia & Pacific,Lower middle income
Panama,PAN,2021-07,41.31,151,Latin America & Caribbean,Upper middle income
Timor,TLS,2021-07,27.03,193,East Asia & Pacific,Lower middle income
Moldova,MDA,2021-07,25.91,122,Europe & Central Asia,Upper middle income
Palestine,PSE,2021-07,19.29,161,Middle East & North Africa,Lower middle income
South Africa,ZAF,2021-07,12.15,215,Sub-Saharan Africa,Upper middle income
Netherlands,NLD,2021-07,116.3,144,Europe & Central Asia,High income
Barbados,BRB,2021-07,61.15,27,Latin America & Caribbean,High income
French Polynesia,PYF,2021-07,54.52,162,East Asia & Pacific,High income
Eswatini,SWZ,2021-07,5.41,183,Sub-Saharan Africa,Lower middle income
Singapore,SGP,2021-07,137.85,170,East Asia & Pacific,High income
Israel,ISR,2021-08,147.29,94,Middle East & North Africa,High income
Colombia,COL,2021-08,68.97,41,Latin America & Caribbean,Upper middle income
Equatorial Guinea,GNQ,2021-08,23.21,75,Sub-Saharan Africa,Upper middle income
Chile,CHL,2021-08,150.19,35,Latin America & Caribbean,High income
Sri Lanka,LKA,2021-08,90.7,113,South Asia,Lower middle income
Bulgaria,BGR,2021-08,33.53,18,Europe & Central Asia,Upper middle income
Palestine,PSE,2021-08,26.66,161,Middle East & North Africa,Lower middle income
Sierra Leone,SLE,2021-08,2.38,172,Sub-Saharan Africa,Low income
South Korea,KOR,2021-08,86.16,105,East Asia & Pacific,High income
Saudi Arabia,SAU,2021-08,105.07,167,Middle East & North Africa,High income
Georgia,GEO,2021-08,30.42,69,Europe & Central Asia,Upper middle income
Papua New Guinea,PNG,2021-08,1.4,155,East Asia & Pacific,Lower middle income
Libya,LBY,2021-08,14.82,110,Middle East & North Africa,Upper middle income
Bolivia,BOL,2021-08,50.28,25,Latin America & Caribbean,Lower middle income
Germany,DEU,2021-08,121.64,50,Europe & Central Asia,High income
San Marino,SMR,2021-08,136.68,174,Europe & Central Asia,High income
Burkina Faso,BFA,2021-08,0.51,16,Sub-Saharan Africa,Low income
Afghanistan,AFG,2021-08,3.02,1,South Asia,Low income
Serbia,SRB,2021-08,85.61,176,Europe & Central Asia,Upper middle income
Democratic Republic of Congo,COD,2021-08,0.11,39,Sub-Saharan Africa,Low income
Qatar,QAT,2021-08,152,163,Middle East & North Africa,High income
Italy,ITA,2021-08,129.36,95,Europe & Central Asia,High income
Saint Kitts and Nevis,KNA,2021-08,84.65,104,Latin America & Caribbean,High income
Slovenia,SVN,2021-08,89.16,181,Europe & Central Asia,High income
Djibouti,DJI,2021-08,5.41,51,Middle East & North Africa,Lower middle income
Norway,NOR,2021-08,128.05,145,Europe & Central Asia,High income
Maldives,MDV,2021-08,126.37,124,South Asia,Upper middle income
Czechia,CZE,2021-08,107.48,49,Europe & Central Asia,High income
Costa Rica,CRI,2021-08,78.48,44,Latin America & Caribbean,Upper middle income
Togo,TGO,2021-08,6.32,189,Sub-Saharan Africa,Low income
Mali,MLI,2021-08,1.42,128,Sub-Saharan Africa,Low income
Belgium,BEL,2021-08,139.91,14,Europe & Central Asia,High income
Fiji,FJI,2021-08,86.18,63,East Asia & Pacific,Upper middle income
China,CHN,2021-08,142.36,36,East Asia & Pacific,Upper middle income
Congo,COG,2021-08,4.84,40,Sub-Saharan Africa,Lower middle income
Honduras,HND,2021-08,40.52,83,Latin America & Caribbean,Lower middle income
Zimbabwe,ZWE,2021-08,27.96,217,Sub-Saharan Africa,Lower middle income
Azerbaijan,AZE,2021-08,65.43,12,Europe & Central Asia,Upper middle income
Belarus,BLR,2021-08,30,22,Europe & Central Asia,Upper middle income
Seychelles,SYC,2021-08,145.07,185,Sub-Saharan Africa,High income
Spain,ESP,2021-08,140.49,59,Europe & Central Asia,High income
Macao,MAC,2021-08,90.88,118,East Asia & Pacific,High income
Andorra,AND,2021-08,124,4,Europe & Central Asia,High income
Gambia,GMB,2021-08,7.8,73,Sub-Saharan Africa,Low income
Tajikistan,TJK,2021-08,23.14,191,Europe & Central Asia,Lower middle income
Yemen,YEM,2021-08,0.98,214,Middle East & North Africa,Low income
Vietnam,VNM,2021-08,20.34,210,East Asia & Pacific,Lower middle income
Ukraine,UKR,2021-08,20.89,202,Europe & Central Asia,Lower middle income
Russia,RUS,2021-08,55,165,Europe & Central Asia,Upper middle income
United Kingdom,GBR,2021-08,133.18,68,Europe & Central Asia,High income
